0007-9235	223679
2058-8437	74449
0028-4793	70670
0140-6736	59102
1474-1776	57618
0009-2665	54301
2058-7546	54000
1474-175X	51848
0098-7484	51273
1474-1733	44019
1471-0056	43704
1471-0072	43351
0028-0836	43070
0036-8075	41063
0306-0012	40443
1476-1122	38887
0034-6861	38296
0092-8674	36216
1470-2045	35386
1740-1526	34648
1759-4774	34106
1723-8617	34024
1723-8617	34024
1748-3387	33407
1754-5692	33250
1471-003X	33162
0066-4146	33069
2056-676X	32274
1087-0156	31864
1749-4885	31583
1078-8956	30641
2397-3358	30628
1474-4422	28755
1548-7091	28467
0732-183X	28349
0370-1573	28295
2367-3613	27778
1756-1833	27604
1473-3099	27516
0066-4154	26922
0360-1285	26467
2159-8274	26370
0001-8732	26100
0935-9648	25809
1061-4036	25455
0195-668X	24889
1614-6832	24884
1759-5029	24646
2213-8587	24540
0079-6700	24505
1369-7021	24372
0031-9333	24250
1535-6108	23916
0079-6425	23725
1759-5045	23570
1529-2908	23530
1755-4330	23193
0009-7322	23054
2213-2600	22992
1553-877X	22973
2374-2437	22416
1550-4131	22415
0927-796X	22250
1529-1006	22250
1758-678X	21722
1758-678X	21722
0001-4842	21661
1074-7613	21522
1934-5909	21464
0732-0582	21429
1759-4758	21155
1097-6256	21126
0950-6608	21086
2168-6106	20768
1745-2473	20113
0016-5085	19809
0066-4308	19755
0066-4308	19755
1759-5061	19684
2470-9476	19400
0003-4819	19315
0342-4642	18967
0168-8278	18946
1543-5008	18918
0031-6997	18886
0735-1097	18639
1759-4790	18545
2215-0374	18329
2215-0374	18329
2451-9294	18205
0001-6322	18174
0017-5749	17943
0066-4278	17902
1001-0602	17848
0893-8512	17750
0162-8828	17730
1465-7392	17728
1759-5002	17420
0302-2838	17298
0066-4189	17214
1946-6234	17200
0140-525X	17194
0140-525X	17194
2157-846X	17135
0968-0004	16889
1531-7331	16816
8755-1209	16725
0034-4885	16620
0006-4971	16601
0962-8924	16588
1748-0132	16582
1073-449X	16494
0033-2909	16405
0033-2909	16405
2380-8195	16331
1364-6613	16173
1364-6613	16173
2168-622X	15916
2168-622X	15916
2214-109X	15873
2214-109X	15873
0009-7330	15862
2198-3844	15804
1931-3128	15753
1616-301X	15621
1560-2745	15596
1947-5454	15588
2211-2855	15548
0169-409X	15519
0149-5992	15270
1092-2172	15255
0169-5347	15236
1941-1405	15225
0742-3098	15221
0163-769X	15167
0935-4956	15143
0270-9139	14971
0149-2195	14874
0167-5729	14824
0737-4038	14797
2352-3018	14753
0002-7863	14695
2058-5276	14633
2367-3648	14625
1097-2765	14548
1752-0894	14480
1552-5260	14423
0896-6273	14403
2051-6347	14356
0003-4967	14299
0926-3373	14229
0923-7534	14196
0091-6749	14110
1548-5943	14098
1548-5943	14098
1474-760X	14028
1360-1385	14006
2047-7538	14000
1943-8206	13963
1936-0851	13903
1553-4006	13833
0167-7799	13747
0033-3190	13744
0033-3190	13744
0002-953X	13655
0002-953X	13655
0010-8545	13476
2055-026X	13297
1932-4529	13241
2095-5138	13222
1471-4906	13000
1355-4786	12878
2468-1253	12856
2374-7943	12837
0734-9750	12831
2375-2548	12804
1931-9401	12750
0163-7827	12540
1556-0864	12460
2168-6149	12321
0166-2236	12314
1941-6520	12289
0021-9738	12282
1530-6984	12279
1433-7851	12257
1523-9829	12257
2155-5435	12221
2160-3308	12211
1936-122X	12175
1552-4450	12154
1388-9842	12129
1545-9993	12109
0362-1642	12103
0147-006X	12043
2168-6203	12004
2352-3026	11990
0066-426X	11982
0966-842X	11974
1359-4184	11973
2041-1723	11878
0265-0568	11876
2380-6583	11866
0006-8950	11814
0903-1936	11807
0066-4170	11796
0033-5533	11775
1350-9462	11768
1368-7646	11708
2162-237X	11683
1548-7660	11655
0306-3674	11645
2468-2667	11600
2468-2667	11600
0168-6445	11524
0165-6147	11523
0006-3223	11501
1754-2189	11334
0105-2896	11292
0261-4189	11227
0305-1048	11147
1554-8627	11059
1549-1277	11048
1571-0645	11045
1471-4914	11028
1536-1284	11000
2001-3078	11000
1936-878X	10975
2397-334X	10965
1866-3508	10951
1540-9295	10935
0022-1007	10892
1756-994X	10886
1543-592X	10878
1613-6810	10856
