0007-9235	137578
0028-4793	59558
1474-1776	47120
0140-6736	44002
1087-0156	43113
1474-1733	39416
1476-1122	38891
1471-0072	38602
0028-0836	38138
0066-4146	37846
0098-7484	37684
0009-2665	37369
1471-0056	35898
0732-0582	35543
1748-3387	35267
0036-8075	34661
1474-175X	34244
0306-0012	34090
0034-6861	33177
1433-8351	32000
1061-4036	31616
1749-4885	31167
0079-6425	31083
0031-9333	30924
1078-8956	30357
1471-003X	29298
0092-8674	28710
1755-4330	27893
0079-6700	27184
1470-2045	26509
1754-5692	25427
1548-7091	25328
1740-1526	24727
0927-796X	24652
1074-7613	24082
1553-4006	23758
1474-4422	23468
1535-6108	23214
1934-5909	22387
1543-5008	22131
0001-4842	22003
0066-4154	21407
1473-3099	21372
0732-183X	20982
0140-525X	20415
0140-525X	20415
1723-8617	20205
1723-8617	20205
2159-8274	19783
1756-1833	19697
1529-2908	19381
1614-4961	19333
1529-1006	19286
0066-4308	19085
0066-4308	19085
0935-9648	18960
1745-2473	18791
1759-4774	18786
1465-7392	18699
1759-4758	18418
0031-6997	18393
0016-5085	18187
0001-8732	18000
1364-6613	17850
1364-6613	17850
1369-7021	17793
0735-1097	17759
1550-4131	17303
0009-7322	17202
1758-678X	17184
1758-678X	17184
0360-1285	16784
0169-5347	16735
1097-6256	16724
0003-4819	16593
1947-5454	16379
2213-8587	16320
1946-6234	16264
0370-1573	16240
0893-8512	16187
0066-4278	15754
0169-409X	15606
1759-5029	15432
2213-2600	15328
1614-6832	15230
0195-668X	15064
0302-2838	14976
0017-5749	14921
0163-769X	14898
0033-2909	14839
0033-2909	14839
1001-0602	14812
0362-1642	14769
2214-109X	14722
2214-109X	14722
1759-5045	14435
2168-622X	14417
2168-622X	14417
1931-9401	14310
0147-006X	14265
1092-2172	14167
2168-6106	14000
0896-6273	13974
1097-2765	13958
0166-0616	13889
1530-6984	13779
0168-6445	13687
0737-4038	13649
2047-7538	13600
1549-1676	13585
0066-4170	13534
0066-426X	13527
0002-953X	13505
0002-953X	13505
1545-9993	13338
1936-0851	13334
1359-4184	13314
1941-1405	13214
0301-0082	13177
1748-0132	13157
1073-449X	13118
0002-7863	13038
0010-8545	12994
0034-4885	12933
0968-0004	12810
1081-0706	12755
1552-4450	12709
0065-3055	12625
0021-9738	12575
1931-3128	12552
1752-0894	12508
0166-2236	12504
0091-6749	12485
0003-4967	12384
1943-8206	12368
0066-4189	12333
0066-4197	12235
1548-5943	12214
1548-5943	12214
1389-5567	12162
0935-4956	12136
0887-6924	12104
0167-7799	12065
0006-4971	11847
0165-6147	11840
0270-9139	11711
1433-7851	11709
1936-122X	11625
1552-5260	11619
2211-2855	11553
0009-7330	11551
0962-8924	11532
8755-1209	11444
1471-4906	11433
1616-301X	11382
0027-8874	11370
0001-6322	11360
1088-9051	11351
2041-1723	11329
1465-6906	11313
0067-0049	11257
0022-1007	11240
0163-7827	11238
0006-3223	11212
1355-4786	11194
0163-7258	11000
0265-0568	10986
0066-4219	10954
1360-1385	10899
0098-2997	10860
0002-9297	10794
1461-023X	10772
1464-7931	10725
0168-8278	10590
0149-2195	10588
1744-4292	10581
0066-4227	10536
1759-5002	10533
1759-4790	10531
1531-7331	10390
0002-9270	10383
1523-9829	10256
0163-7525	10240
0163-7525	10240
1759-0876	10234
0342-4642	10125
0006-8950	10103
0890-9369	10042
1044-579X	9955
0168-9525	9858
0734-9750	9848
1941-6520	9741
1754-2189	9646
0261-4189	9643
0364-5134	9638
2053-1583	9611
1757-4676	9547
0105-2896	9542
2168-6203	9528
0966-842X	9500
0146-6410	9472
1759-5061	9463
0027-8424	9423
0897-4756	9407
1350-9462	9394
1543-592X	9352
0277-7037	9346
1534-5807	9338
0193-936X	9333
1751-7362	9328
0742-3098	9314
0066-4286	9308
2155-5435	9307
1471-4914	9292
0923-7534	9269
1553-877X	9220
0305-1048	9202
1943-0264	9173
2041-6520	9144
0198-6325	9135
1554-8627	9108
2051-6347	9095
0962-4929	9000
2049-2618	9000
0960-9822	8983
1743-7199	8976
1043-2760	8964
0004-3591	8955
0149-5992	8934
1998-0124	8893
1040-9238	8867
1838-7640	8854
0091-3022	8852
0955-0674	8851
2223-7755	8800
0012-1797	8784
1884-4049	8772
1342-937X	8743
1078-0432	8738
1058-4838	8736
0021-9525	8717
2160-3308	8701
1545-7885	8668
1743-8977	8649
1571-0645	8615
0149-7634	8580
0003-4932	8569
0008-5472	8556
1948-7185	8539
1040-4651	8538
1467-2960	8521
1463-9262	8506
1540-9295	8504
1046-6673	8491
1568-9972	8490
1044-5323	8461
1354-1013	8444
0091-6765	8443
1467-5463	8399
0142-9612	8387
2352-3018	8364
1527-8204	8347
0903-1936	8332
0926-3373	8328
1613-6810	8315
0958-1669	8314
1866-3508	8286
1047-3211	8285
2050-084X	8282
2050-7488	8262
2168-6149	8230
1063-5157	8225
1350-9047	8218
1096-7176	8201
1040-841X	8192
0028-3878	8166
0272-7358	8146
1085-3278	8145
0040-6376	8121
0012-9615	8037
1741-7015	8005
1936-1327	8000
2095-5138	8000
0305-7372	7983
1368-7646	7950
0950-9232	7932
0003-0007	7929
0950-6608	7914
1743-5390	7913
2190-5991	7883
2211-1247	7870
0304-419X	7841
1936-878X	7815
0001-8686	7813
0084-6597	7810
0954-6820	7803
0896-8411	7760
2040-3364	7760
0586-7614	7757
0586-7614	7757
1469-221X	7739
1098-3600	7710
0085-2538	7683
1542-3565	7680
1745-6916	7658
0031-9007	7645
2162-402X	7644
1367-5931	7643
0033-3190	7632
0033-3190	7632
1936-8798	7630
0033-295X	7581
0033-295X	7581
0079-6816	7579
1088-8683	7571
1568-1637	7526
0161-4940	7526
0300-5771	7522
0738-8551	7510
1467-7881	7510
1053-2498	7509
0163-8998	7500
0165-9936	7487
1863-8880	7486
0956-5663	7476
2047-217X	7463
0009-9147	7457
0168-3659	7441
0090-3493	7422
0002-5100	7417
0022-3417	7381
1522-8517	7371
1062-7995	7365
1945-0877	7359
0021-9517	7354
1087-0792	7341
1073-8584	7295
1471-4922	7295
0363-7425	7288
0009-9236	7268
0038-6308	7242
0079-6565	7231
0033-5835	7222
2213-1779	7218
0028-646X	7210
0890-8567	7182
0890-8567	7182
1944-8244	7145
1674-2052	7142
0952-7915	7126
